trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,cumAcctrain_check,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,key_resp.duration,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,keyFB_2.duration,saveACC_pre,within_saveACC_train,earlystop_wloop,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,33.618221499957144,33.618221499957144,33.618221499957144,33.618221499957144,33.618221499957144,up,1.2193772001191974,0,0,99,0,-0.32,up,1.0946720000356436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,34.81764619983733,34.81764619983733,34.81764619983733,34.81764619983733,34.81764619983733,return,0.4433863000012934,1,0,1,0,-0.32,return,0.3480490001384169,None,1,0,0,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,62,2,3,,,,,,,,24,,,,,,,,38.90260159992613,38.90260159992613,38.90260159992613,38.90260159992613,38.90260159992613,up,1.840062899980694,1,0,99,0,-0.15999999999999998,up,1.7340226999949664,None,,,,,37.334429799811915,38.90260159992613,0,-0.32,0.08,0.0,-0.36,0,0.0,0,-0.32,36.869299199897796,36.869299199897796,36.869299199897796,36.869299199897796,36.869299199897796,36.869299199897796,36.869299199897796,36.869299199897796,36.81816361970268,0.6346674999222159,return,0.4441440000664443,None,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,40.75221289996989,40.75221289996989,40.75221289996989,40.75221289996989,40.75221289996989,up,0.3604277998674661,1,0,99,0,-0.07999999999999997,up,0.26386000006459653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,41.15544379991479,41.15544379991479,41.15544379991479,41.15544379991479,41.15544379991479,up,0.3120172000490129,1,0,99,0,2.7755575615628914e-17,up,0.1798306000418961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,41.43460839986801,41.43460839986801,41.43460839986801,41.43460839986801,41.43460839986801,return,0.3752793001476675,2,0,1,0,2.7755575615628914e-17,return,0.27238400001078844,None,4,0,0,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,64,2,4,,,,,,,,24,,,,,,,,45.43435989995487,45.43435989995487,45.43435989995487,45.43435989995487,45.43435989995487,up,0.44141259999014437,2,0,99,0.08,-0.08,up,0.3436863000970334,None,,,,,43.8685250999406,45.43435989995487,0,0,0.24,0.0,-0.12,0,0.0,0,0,43.36880850000307,43.36880850000307,43.36880850000307,43.36880850000307,43.36880850000307,43.36880850000307,43.36880850000307,43.36880850000307,43.352233729814174,0.6199787000659853,return,0.4705630000680685,None,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,45.87305089994334,45.87305089994334,45.87305089994334,45.87305089994334,45.87305089994334,up,0.26006100000813603,2,0,99,0.08,0.0,up,0.17546060006134212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,46.13926219986752,46.13926219986752,46.13926219986752,46.13926219986752,46.13926219986752,up,0.2769939999561757,2,0,99,0.08,0.08,up,0.194111900171265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,46.41931139980443,46.41931139980443,46.41931139980443,46.41931139980443,46.41931139980443,up,0.2774048999417573,2,0,99,0.08,0.16,up,0.1842175000347197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-25_15h40.09.388,HideSeek_v1,2023.1.3,59.97760434561678,
