trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,24,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,stimuli/instructions/Slide13.png,stimuli/instructions/Audio13.wav,35.95740709989332,35.954995499923825,0,,,1,[1.9642415000125766],[1.9642457000445575],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,stimuli/instructions/Slide12.png,stimuli/instructions/Audio12.wav,37.98885089997202,37.97096481989138,0,,,1,[0.4516288999002427],[0.45163269992917776],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,38.504319599829614,38.48784421989694,0,,,1,[0.38731470005586743],[0.38731879997067153],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,stimuli/instructions/Slide10.png,stimuli/instructions/Audio10.wav,38.938739300007,38.92102958983742,0,,,1,[0.4683020000811666],[0.46830489998683333],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,stimuli/instructions/Slide9.png,stimuli/instructions/Audio9.wav,39.45499280001968,39.454577720025554,1,[1.7143932001199573],[1.7143984001595527],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,stimuli/instructions/Slide10.png,stimuli/instructions/Audio10.wav,41.2202696998138,41.204626289894804,1,[0.36704979999922216],[0.36705389991402626],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,41.6543767999392,41.638027619803324,1,[0.39088360010646284],[0.39088710001669824],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,stimuli/instructions/Slide12.png,stimuli/instructions/Audio12.wav,42.10509660001844,42.087850919924676,1,[0.40206120000220835],[0.40206649992614985],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,stimuli/instructions/Slide13.png,stimuli/instructions/Audio13.wav,42.588054299820215,42.571734049823135,1,[0.5734750998672098],[0.5734792998991907],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,stimuli/instructions/Slide14.png,stimuli/instructions/Audio14.wav,43.23763529979624,43.22171974997036,1,[0.5405685000587255],[0.5405715999659151],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
2,2,3,2,3,0,0,61,2,instr_dim1_1,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,43.85456519993022,43.85456519993022,43.85456519993022,43.85456519993022,43.837984449928626,return,1.5346629999112338,None,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",3,3,2,2,0.0,0.0,45.55479820002802,45.55479820002802,45.55479820002802,45.55479820002802,45.55479820002802,45.55479820002802,45.55479820002802,45.53820623992942,0.45020520011894405,return,0.28426850005052984,None,stimuli/alien_stimuli/61.png,61,2,2,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,24,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,stimuli/instructions/Slide15.png,stimuli/instructions/Audio15.wav,46.054552800022066,46.03816642984748,0,,,1,[1.7228296999819577],[1.7228339000139385],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,stimuli/instructions/Slide14.png,stimuli/instructions/Audio14.wav,47.838978399988264,47.837760149966925,0,,,1,[0.4467500001192093],[0.44675420015119016],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,stimuli/instructions/Slide13.png,stimuli/instructions/Audio13.wav,48.37112559983507,48.354597149882466,0,,,1,[0.5410054000094533],[0.5410102000460029],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,stimuli/instructions/Slide12.png,stimuli/instructions/Audio12.wav,48.971227099886164,48.95420211995952,0,,,1,[0.552406300092116],[0.5524098000023514],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28_13h29.08.289,HideSeek_v1,2023.1.3,59.875757846232375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/instructions/Slide11.png,stimuli/instructions/Audio11.wav,49.587643599836156,49.571247319923714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
