trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,key_resp.duration,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,keyFB_2.duration,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,25.17027489998145,25.17027489998145,25.17027489998145,25.17027489998145,25.17027489998145,up,0.4767625000094995,0,0,0,99,0,-0.07999999999999997,up,0.37945399997988716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,25.652484600024763,25.652484600024763,25.652484600024763,25.652484600024763,25.652484600024763,up,0.310350899992045,0,0,0,99,0,2.7755575615628914e-17,up,0.21137999999336898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,25.96919590001926,25.96919590001926,25.96919590001926,25.96919590001926,25.96919590001926,return,0.3608383999671787,0,1,0,0,0,2.7755575615628914e-17,return,0.2640571999945678,None,5,0,0,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,62,2,3,,,,,,,24,,,,,,,,30.63591329997871,30.63591329997871,30.63591329997871,30.63591329997871,30.63591329997871,up,1.2082372999866493,0,1,0,99,0,-0.15999999999999998,up,1.1144416000461206,None,,,,,29.06905160000315,30.63591329997871,0,-0.32,0.08,0.0,-0.36,0,0.0,0,-0.32,27.935986099997535,27.935986099997535,27.935986099997535,27.935986099997535,27.935986099997535,27.935986099997535,27.935986099997535,27.935986099997535,27.886204619985076,1.3020875999936834,return,1.112310399999842,None,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,31.852290400012862,31.852290400012862,31.852290400012862,31.852290400012862,31.852290400012862,up,0.31035739998333156,0,1,0,99,0,-0.07999999999999997,up,0.20612949994392693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,32.219027400016785,32.219027400016785,32.219027400016785,32.219027400016785,32.219027400016785,up,0.22742310003377497,0,1,0,99,0,2.7755575615628914e-17,up,0.07441810000455007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,32.40274260001024,32.40274260001024,32.40274260001024,32.40274260001024,32.40274260001024,return,0.3110101000056602,1,0,0,1,0,2.7755575615628914e-17,return,0.20933009998407215,None,8,0,0,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,64,2,4,,,,,,,24,,,,,,,,36.88610870001139,36.88610870001139,36.88610870001139,36.88610870001139,36.88610870001139,right,2.625839799991809,1,0,0,99,0.16,-0.16,right,2.5297622000216506,None,,,,,35.319267600018065,36.88610870001139,0,0,0.24,0.0,-0.12,0,0.0,0,0,34.26962169999024,34.26962169999024,34.26962169999024,34.26962169999024,34.26962169999024,34.26962169999024,34.26962169999024,34.26962169999024,34.25283022998482,1.1680538000073284,return,1.0257622000062838,None,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,39.519308599992655,39.519308599992655,39.519308599992655,39.519308599992655,39.519308599992655,right,1.1938152000075206,1,0,0,99,0.24,-0.16,right,1.0886341000441462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,40.719623400014825,40.719623400014825,40.719623400014825,40.719623400014825,40.719623400014825,right,0.1605142999906093,1,0,0,99,0.32,-0.16,right,0.05883009999524802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_15h02.06.750,HideSeek_v1,2023.1.3,60.023289031800154,
