beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide18.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio18.wav,41.703127999964636,41.698313479963694,18,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.1479022999992594]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide19.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio19.wav,41.9034912000061,41.89855717996834,19,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837, 0.14626309997402132]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.016182999999728054, 0.14627119997749105]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide20.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio20.wav,42.11558619997231,42.099494480015714,20,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837, 0.14626309997402132, 0.14060599997173995]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.016182999999728054, 0.023571099969558418, 0.14061279996531084]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide21.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio21.wav,42.38314140000148,42.36535995997256,21,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837, 0.14626309997402132, 0.14060599997173995, 0.06679159996565431]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.016182999999728054, 0.023571099969558418, 0.14061279996531084, 0.06680410000262782]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide22.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio22.wav,42.59868309996091,42.58899789996212,22,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837, 0.14626309997402132, 0.14060599997173995, 0.06679159996565431, 0.042858999979216605]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.016182999999728054, 0.023571099969558418, 0.14061279996531084, 0.06680410000262782, 0.04286589997354895]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide23.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio23.wav,42.832133599964436,42.78121529996861,23,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837, 0.14626309997402132, 0.14060599997173995, 0.06679159996565431, 0.042858999979216605, 0.06254469999112189]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.016182999999728054, 0.023571099969558418, 0.14061279996531084, 0.06680410000262782, 0.04286589997354895, 0.06255159998545423]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide24.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio24.wav,42.91550569998799,42.89848047996639,24,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149, 0.1875859000138007, 0.16380400001071393, 0.081730600039009, 0.19344170001568273, 0.11612959997728467, 0.12381329998606816, 0.16034130001207814, 0.14789480000035837, 0.14626309997402132, 0.14060599997173995, 0.06679159996565431, 0.042858999979216605, 0.06254469999112189, 0.1325834000017494]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.02125240000896156, 0.016342399991117418, 0.16381190001266077, 0.02537540002958849, 0.19345160003285855, 0.00028789998032152653, 0.04389959998661652, 0.017907400033436716, 0.016182999999728054, 0.023571099969558418, 0.14061279996531084, 0.06680410000262782, 0.04286589997354895, 0.00020160002168267965, 0.13258989999303594]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
