trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,key_instr.duration,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,keyFB_3.duration,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,key_resp.duration,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,keyFB_2.duration,participant,study_id,session_id,date,expName,psychopyVersion,frameRate,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,23.068859599996358,23.068859599996358,23.068859599996358,23.068859599996358,23.068859599996358,up,1.1072884000022896,0,0,99,0,-0.32,up,0.9996339000063017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24.2021954000229,24.2021954000229,24.2021954000229,24.2021954000229,24.2021954000229,up,1.5433648999896832,0,0,99,0,-0.24,up,1.4104078999953344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,0,2,1,0,1,62,,train_dim1_1,1,24,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,25.71895280003082,25.71895280003082,25.71895280003082,25.71895280003082,25.71895280003082,return,0.4943984000128694,0,0,0,0,-0.24,return,0.38681489997543395,None,2,0,0,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,62,2,3,,,,,,,24,,,,,,,,34.91886610002257,34.91886610002257,34.91886610002257,34.91886610002257,34.91886610002257,up,0.8748791000107303,0,0,99,0,-0.15999999999999998,up,0.7677817000076175,None,,,,,33.35196350002661,34.91886610002257,0,-0.32,0.08,0.0,-0.36,0,0.0,0,-0.32,27.904802600038238,27.904802600038238,27.904802600038238,27.904802600038238,27.904802600038238,27.904802600038238,27.904802600038238,27.904802600038238,27.784092150011563,5.701199900009669,return,5.429220799996983,None,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,35.802416799997445,35.802416799997445,35.802416799997445,35.802416799997445,35.802416799997445,up,0.4602512000128627,0,0,99,0,-0.07999999999999997,up,0.35818129999097437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,36.31863150000572,36.31863150000572,36.31863150000572,36.31863150000572,36.31863150000572,up,0.29431600001407787,0,0,99,0,2.7755575615628914e-17,up,0.147791099967435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,2,2,2,5,0,3,64,,train_dim1_1,2,24,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,36.56875720003154,36.56875720003154,36.56875720003154,36.56875720003154,36.56875720003154,return,0.36004340002546087,1,0,1,0,2.7755575615628914e-17,return,0.25928610004484653,None,5,0,0,2.7755575615628914e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,3,3,3,8,0,5,66,,train_dim1_1,3,24,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,64,2,4,,,,,,,24,,,,,,,,40.986221400031354,40.986221400031354,40.986221400031354,40.986221400031354,40.986221400031354,return,1.5247322999639437,1,0,0,0.08,-0.16,return,1.4211476999917068,None,5,0,0.08,-0.16,39.41853160003666,40.986221400031354,0,0,0.24,0.0,-0.12,0,0.0,0,0,38.486424800008535,38.486424800008535,38.486424800008535,38.486424800008535,38.486424800008535,38.486424800008535,38.486424800008535,38.486424800008535,38.46695805004565,1.0524435000261292,return,0.9134112999890931,None,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/65.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,66,3,5,,,,,,,24,,,,,,,,51.88551860000007,51.88551860000007,51.88551860000007,51.88551860000007,51.88551860000007,down,4.292033399979118,1,0,99,0.16,-0.16,down,4.184715099981986,None,,,,,50.318494500010274,51.88551860000007,0.08,0.24,0.4,0.0,0.039999999999999994,0.08,0.08,0.08,0.24,44.0734964000294,44.0734964000294,44.0734964000294,44.0734964000294,44.0734964000294,44.0734964000294,44.0734964000294,44.0734964000294,44.05056035001762,6.36823279998498,return,6.222045500006061,None,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,56.18592240003636,56.18592240003636,56.18592240003636,56.18592240003636,56.18592240003636,down,0.29270930000348017,1,0,99,0.16,-0.24,down,0.19424930005334318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,56.48549729998922,56.48549729998922,56.48549729998922,56.48549729998922,56.48549729998922,down,0.2112108999863267,1,0,99,0.16,-0.32,down,0.1134957000031136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,56.70352300000377,56.70352300000377,56.70352300000377,56.70352300000377,56.70352300000377,down,0.34416489995783195,1,0,99,0.16,-0.4,down,0.23636969999643043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,4,4,4,8,0,4,65,,train_dim1_1,4,24,2,0,2,0,,,,,,,,,0,0,0,0,0,3,3,3,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,57.05166090000421,57.05166090000421,57.05166090000421,57.05166090000421,57.05166090000421,return,0.29382659995462745,1,0,0,0.16,-0.4,return,0.19777889997931197,None,1,0,0.16,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-08_14h56.25.619,HideSeek_v1,2023.1.3,60.06424472987095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,57.28522710001562,58.90242729999591,0.16,0.24,0.32,0.0,0.07999999999999999,0.16,0.16,0.16,0.24,58.90242729999591,58.90242729999591,58.90242729999591,58.90242729999591,58.90242729999591,58.90242729999591,58.90242729999591,58.90242729999591,58.88436095004435,,,,,,,,,,,,
